Reference,Qty,Value,DNP,Exclude from BOM,Exclude from Board,Footprint,Datasheet
C1,1,680/35V,,,,Capacitor_THT:CP_Radial_D8.0mm_P5.00mm,
"C2,C5,C6,C7,C8",5,C,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
C3,1,220uF/16V,,,,Capacitor_THT:CP_Radial_D8.0mm_P2.50mm,
"C4,C9,C10",3,0.1uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
C11,1,10uF,,,,Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,
D1,1,RED,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
D2,1,YELLOW,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
D3,1,SM518,,,,Diode_THT:D_T-1_P2.54mm_Vertical_AnodeUp,http://cdn-reichelt.de/documents/datenblatt/A400/SMD1N400%23DIO.pdf
D4,1,GREEN,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
D5,1,BLUE,,,,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,
J1,1,Screw_Terminal_01x02,,,,"TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",
J2,1,USB_B_Micro,,,,Connector_USB:USB_Micro-AB_Molex_47590-0001,
J3,1,Jack-DC,,,,Connector_BarrelJack:BarrelJack_SwitchcraftConxall_RAPC10U_Horizontal,
"J4,J5",2,Conn_01x02_Socket,,,,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,
J6,1,Conn_01x06_Socket,,,,Connector_PinSocket_2.54mm:PinSocket_1x06_P2.54mm_Vertical,
"J7,J10,J11,J12",4,Conn_01x02_Pin,,,,Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical,
J8,1,Conn_01x04_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,
J9,1,Conn_01x03_Pin,,,,Connector_PinSocket_2.54mm:PinSocket_1x03_P2.54mm_Vertical,
J13,1,Conn_01x02_Socket,,,,Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical,
J14,1,Conn_01x16_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x16_P2.54mm_Vertical,
J15,1,Conn_01x02_Socket,,,,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,
J16,1,Conn_01x03_Pin,,,,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,
L1,1,33uH,,,,Inductor_SMD:L_0805_2012Metric_Pad1.05x1.20mm_HandSolder,
"Q1,Q2",2,MMBT2222A,,,,Package_TO_SOT_SMD:SOT-23,https://assets.nexperia.com/documents/data-sheet/MMBT2222A.pdf
R1,1,2.7K,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
"R2,R3,R4,R7,R8,R9,R10,R15,R17,R18,R19",11,10k,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
"R5,R6,R11,R12,R13,R14",6,330,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
R16,1,470,,,,Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,
RV1,1,R_Potentiometer,,,,Potentiometer_THT:Potentiometer_Vishay_148-149_Single_Horizontal,
"SW1,SW2",2,SW_Omron_B3FS,,,,Button_Switch_THT:SW_TH_Tactile_Omron_B3F-100x,https://omronfs.omron.com/en_US/ecb/products/pdf/en-b3fs.pdf
U1,1,CH340C,,,,Package_SO:SOIC-16_3.9x9.9mm_P1.27mm,https://datasheet.lcsc.com/szlcsc/Jiangsu-Qin-Heng-CH340C_C84681.pdf
U2,1,LM2596S-3.3,,,,Package_TO_SOT_SMD:TO-263-5_TabPin3,http://www.ti.com/lit/ds/symlink/lm2596.pdf
U3,1,ESP32-WROOM-32D,,,,RF_Module:ESP32-WROOM-32D,https://www.espressif.com/sites/default/files/documentation/esp32-wroom-32d_esp32-wroom-32u_datasheet_en.pdf
